Provinsi ;Bekerja;Pengangguran;Tahun;Daerah
Aceh;2219698;146622;2019;DesaKota
Sumatera Utara;6681224;382438;2019;DesaKota
Sumatera Barat;2460554;138459;2019;DesaKota
Riau;2996079;190143;2019;DesaKota
Jambi;1691782;73965;2019;DesaKota
Sumatera Selatan;3968499;185918;2019;DesaKota
Bengkulu;981095;34439;2019;DesaKota
Lampung;4077930;171455;2019;DesaKota
Kepulauan Bangka Belitung;715927;26871;2019;DesaKota
Kepulauan Riau;935682;69479;2019;DesaKota
DKI Jakarta;4836977;320901;2019;DesaKota
Jawa Barat;21902958;1901498;2019;DesaKota
Jawa Tengah;17441153;819355;2019;DesaKota
D.I. Yogyakarta;2134750;69170;2019;DesaKota
Jawa Timur;20655632;843754;2019;DesaKota
Banten;5562846;490808;2019;DesaKota
Bali;2428679;37551;2019;DesaKota
Nusa Tenggara Barat;2387036;84516;2019;DesaKota
Nusa Tenggara Timur;2394673;83030;2019;DesaKota
Kalimantan Barat;2369015;110272;2019;DesaKota
Kalimantan Tengah;1327885;56790;2019;DesaKota
Kalimantan Selatan;2036736;91730;2019;DesaKota
Kalimantan Timur;1704808;110574;2019;DesaKota
Kalimantan Utara;333777;15380;2019;DesaKota
Sulawesi Utara;1131521;75485;2019;DesaKota
Sulawesi Tengah;1439759;46802;2019;DesaKota
Sulawesi Selatan;3830096;200304;2019;DesaKota
Sulawesi Tenggara;1217983;45292;2019;DesaKota
Gorontalo;562087;23809;2019;DesaKota
Sulawesi Barat;641613;21054;2019;DesaKota
Maluku;715811;54575;2019;DesaKota
Maluku Utara;522423;27303;2019;DesaKota
Papua Barat;433401;28846;2019;DesaKota
Papua;1775030;67173;2019;DesaKota
Aceh;2359905;166600;2020;DesaKota
Sumatera Utara;6842252;507805;2020;DesaKota
Sumatera Barat;2581524;190609;2020;DesaKota
Riau;3022988;203837;2020;DesaKota
Jambi;1739003;93990;2020;DesaKota
Sumatera Selatan;4091383;238363;2020;DesaKota
Bengkulu;1031881;43801;2020;DesaKota
Lampung;4280109;209568;2020;DesaKota
Kepulauan Bangka Belitung;699881;38756;2020;DesaKota
Kepulauan Riau;1016600;117176;2020;DesaKota
DKI Jakarta;4659251;572780;2020;DesaKota
Jawa Barat;21674854;2533076;2020;DesaKota
Jawa Tengah;17536935;1214342;2020;DesaKota
D.I. Yogyakarta;2126316;101846;2020;DesaKota
Jawa Timur;20962967;1301145;2020;DesaKota
Banten;5552172;661061;2020;DesaKota
Bali;2423419;144500;2020;DesaKota
Nusa Tenggara Barat;2575956;113430;2020;DesaKota
Nusa Tenggara Timur;2725955;121884;2020;DesaKota
Kalimantan Barat;2458296;151561;2020;DesaKota
Kalimantan Tengah;1318133;63309;2020;DesaKota
Kalimantan Selatan;2083319;103648;2020;DesaKota
Kalimantan Timur;1692796;124884;2020;DesaKota
Kalimantan Utara;330441;17290;2020;DesaKota
Sulawesi Utara;1134802;90248;2020;DesaKota
Sulawesi Tengah;1516347;59381;2020;DesaKota
Sulawesi Selatan;4006620;269817;2020;DesaKota
Sulawesi Tenggara;1289232;61860;2020;DesaKota
Gorontalo;568563;25410;2020;DesaKota
Sulawesi Barat;672986;23132;2020;DesaKota
Maluku;775701;63489;2020;DesaKota
Maluku Utara;552502;29997;2020;DesaKota
Papua Barat;459350;33501;2020;DesaKota
Papua;1691745;75658;2020;DesaKota
Aceh;2361300;158857;2021;DesaKota
Sumatera Utara;7035850;475156;2021;DesaKota
Sumatera Barat;2581444;179948;2021;DesaKota
Riau;3148947;145669;2021;DesaKota
Jambi;1746840;93754;2021;DesaKota
Sumatera Selatan;4179708;219199;2021;DesaKota
Bengkulu;1021775;38745;2021;DesaKota
Lampung;4284320;210632;2021;DesaKota
Kepulauan Bangka Belitung;701441;37176;2021;DesaKota
Kepulauan Riau;1087419;119595;2021;DesaKota
DKI Jakarta;4737415;439899;2021;DesaKota
Jawa Barat;22313481;2430147;2021;DesaKota
Jawa Tengah;17835770;1128223;2021;DesaKota
D.I. Yogyakarta;2228523;106432;2021;DesaKota
Jawa Timur;21037750;1281395;2021;DesaKota
Banten;5698344;562310;2021;DesaKota
Bali;2441854;138669;2021;DesaKota
Nusa Tenggara Barat;2657395;82495;2021;DesaKota
Nusa Tenggara Timur;2808620;109928;2021;DesaKota
Kalimantan Barat;2482453;153307;2021;DesaKota
Kalimantan Tengah;1346437;63874;2021;DesaKota
Kalimantan Selatan;2109427;109968;2021;DesaKota
Kalimantan Timur;1720361;126186;2021;DesaKota
Kalimantan Utara;338152;16224;2021;DesaKota
Sulawesi Utara;1126797;85540;2021;DesaKota
Sulawesi Tengah;1524730;59371;2021;DesaKota
Sulawesi Selatan;4160433;252349;2021;DesaKota
Sulawesi Tenggara;1327069;54134;2021;DesaKota
Gorontalo;579009;17959;2021;DesaKota
Sulawesi Barat;686544;22208;2021;DesaKota
Maluku;800755;59589;2021;DesaKota
Maluku Utara;568698;28133;2021;DesaKota
Papua Barat;483681;29985;2021;DesaKota
Papua;1887781;64996;2021;DesaKota
Aceh;2394994;157568;2022;DesaKota
Sumatera Utara;7197374;472496;2022;DesaKota
Sumatera Barat;2688164;180106;2022;DesaKota
Riau;3168929;144889;2022;DesaKota
Jambi;1797819;86459;2022;DesaKota
Sumatera Selatan;4289704;208256;2022;DesaKota
Bengkulu;1037496;38619;2022;DesaKota
Lampung;4387966;207965;2022;DesaKota
Kepulauan Bangka Belitung;730972;36631;2022;DesaKota
Kepulauan Riau;1155997;103715;2022;DesaKota
DKI Jakarta;4875102;377294;2022;DesaKota
Jawa Barat;23452568;2125606;2022;DesaKota
Jawa Tengah;18390459;1084475;2022;DesaKota
D.I. Yogyakarta;2241131;94945;2022;DesaKota
Jawa Timur;21613293;1255719;2022;DesaKota
Banten;5940618;523013;2022;DesaKota
Bali;2607070;131469;2022;DesaKota
Nusa Tenggara Barat;2718345;80833;2022;DesaKota
Nusa Tenggara Timur;2915293;107128;2022;DesaKota
Kalimantan Barat;2557523;137680;2022;DesaKota
Kalimantan Tengah;1344475;59829;2022;DesaKota
Kalimantan Selatan;2092225;104025;2022;DesaKota
Kalimantan Timur;1746920;105882;2022;DesaKota
Kalimantan Utara;353984;16028;2022;DesaKota
Sulawesi Utara;1159965;82123;2022;DesaKota
Sulawesi Tengah;1586320;49145;2022;DesaKota
Sulawesi Selatan;4353650;205725;2022;DesaKota
Sulawesi Tenggara;1335921;46474;2022;DesaKota
Gorontalo;614250;16284;2022;DesaKota
Sulawesi Barat;731902;17545;2022;DesaKota
Maluku;808844;59737;2022;DesaKota
Maluku Utara;584968;24273;2022;DesaKota
Papua Barat;487705;27665;2022;DesaKota
Papua;1934767;56330;2022;DesaKota
Aceh;1492777;92870;2019;Desa
Sumatera Utara;3140342;120635;2019;Desa
Sumatera Barat;1323947;58136;2019;Desa
Riau;1804670;86806;2019;Desa
Jambi;1129113;44855;2019;Desa
Sumatera Selatan;2599435;85796;2019;Desa
Bengkulu;660978;21925;2019;Desa
Lampung;2867298;100360;2019;Desa
Kepulauan Bangka Belitung;328307;9742;2019;Desa
Kepulauan Riau;88890;3638;2019;Desa
DKI Jakarta;#VALUE!;#VALUE!;2019;Desa
Jawa Barat;5162786;438835;2019;Desa
Jawa Tengah;8658364;343696;2019;Desa
D.I. Yogyakarta;619318;9589;2019;Desa
Jawa Timur;9880058;324000;2019;Desa
Banten;1524558;159721;2019;Desa
Bali;792873;7845;2019;Desa
Nusa Tenggara Barat;1252160;36584;2019;Desa
Nusa Tenggara Timur;1878906;45300;2019;Desa
Kalimantan Barat;1610300;51056;2019;Desa
Kalimantan Tengah;793684;29025;2019;Desa
Kalimantan Selatan;1120151;33355;2019;Desa
Kalimantan Timur;558697;27064;2019;Desa
Kalimantan Utara;134575;5379;2019;Desa
Sulawesi Utara;550868;26286;2019;Desa
Sulawesi Tengah;1015819;25532;2019;Desa
Sulawesi Selatan;2251304;68257;2019;Desa
Sulawesi Tenggara;803046;24826;2019;Desa
Gorontalo;326453;9622;2019;Desa
Sulawesi Barat;513583;15308;2019;Desa
Maluku;418482;21701;2019;Desa
Maluku Utara;381144;17467;2019;Desa
Papua Barat;268409;12478;2019;Desa
Papua;1356013;26124;2019;Desa
Aceh;1604243;92751;2020;Desa
Sumatera Utara;3216276;153490;2020;Desa
Sumatera Barat;1385413;68417;2020;Desa
Riau;1836899;90345;2020;Desa
Jambi;1186808;50750;2020;Desa
Sumatera Selatan;2669589;105028;2020;Desa
Bengkulu;708021;25609;2020;Desa
Lampung;3020483;106184;2020;Desa
Kepulauan Bangka Belitung;323912;13182;2020;Desa
Kepulauan Riau;108109;6189;2020;Desa
DKI Jakarta;#VALUE!;#VALUE!;2020;Desa
Jawa Barat;5179794;479067;2020;Desa
Jawa Tengah;8769495;480045;2020;Desa
D.I. Yogyakarta;573740;12785;2020;Desa
Jawa Timur;10040243;432537;2020;Desa
Banten;1591697;189681;2020;Desa
Bali;785851;29430;2020;Desa
Nusa Tenggara Barat;1333713;47546;2020;Desa
Nusa Tenggara Timur;2130274;68503;2020;Desa
Kalimantan Barat;1676358;68859;2020;Desa
Kalimantan Tengah;776860;34029;2020;Desa
